#  scale/GeV      gY           g2           g3           Lambdax      Yu(0,0)      Yu(0,1)      Yu(0,2)      Yu(1,0)      Yu(1,1)     Yu(1,2)     Yu(2,0)     Yu(2,1)     Yu(2,2)     Yd(0,0)     Yd(0,1)     Yd(0,2)     Yd(1,0)     Yd(1,1)     Yd(1,2)     Yd(2,0)     Yd(2,1)     Yd(2,2)     Ye(0,0)     Ye(0,1)     Ye(0,2)     Ye(1,0)     Ye(1,1)     Ye(1,2)     Ye(2,0)     Ye(2,1)     Ye(2,2)     mu2/GeV^2         v/GeV          
1.9988e+10      0.520408        0.566829        0.643848        -0.00713446     3.93264e-06     0               0               0               0.00179742      0               0               0               0.53405         -7.9571e-06     0               0               0               -0.000174218    0               0               0               -0.00758823     -2.91404e-06    0               0               0               -0.000602531    0               0               0               -0.0101547      10400           240.803         
2.89181e+10     0.521776        0.565503        0.639485        -0.00861344     3.90067e-06     0               0               0               0.00178281      0               0               0               0.530252        -7.89538e-06    0               0               0               -0.000172867    0               0               0               -0.00752175     -2.91086e-06    0               0               0               -0.000601874    0               0               0               -0.0101436      10399.8         240.952         
4.1838e+10      0.523154        0.564187        0.635211        -0.0100325      3.86928e-06     0               0               0               0.00176846      0               0               0               0.526518        -7.83484e-06    0               0               0               -0.000171542    0               0               0               -0.00745661     -2.9076e-06     0               0               0               -0.0006012      0               0               0               -0.0101323      10399           241.106         
6.05301e+10     0.524543        0.562879        0.631022        -0.0113935      3.83847e-06     0               0               0               0.00175438      0               0               0               0.522847        -7.77543e-06    0               0               0               -0.000170241    0               0               0               -0.00739279     -2.90427e-06    0               0               0               -0.000600511    0               0               0               -0.0101207      10397.5         241.264         
8.75733e+10     0.525943        0.56158         0.626915        -0.0126985      3.80822e-06     0               0               0               0.00174055      0               0               0               0.519237        -7.71712e-06    0               0               0               -0.000168964    0               0               0               -0.00733022     -2.90086e-06    0               0               0               -0.000599806    0               0               0               -0.0101088      10395.4         241.427         
1.26699e+11     0.527355        0.56029         0.622887        -0.0139492      3.7785e-06      0               0               0               0.00172697      0               0               0               0.515686        -7.65986e-06    0               0               0               -0.00016771     0               0               0               -0.00726888     -2.89738e-06    0               0               0               -0.000599085    0               0               0               -0.0100967      10392.7         241.595         
1.83304e+11     0.528778        0.559009        0.618937        -0.0151474      3.74931e-06     0               0               0               0.00171363      0               0               0               0.512192        -7.60364e-06    0               0               0               -0.000166479    0               0               0               -0.00720872     -2.89382e-06    0               0               0               -0.00059835     0               0               0               -0.0100843      10389.4         241.768         
2.652e+11       0.530212        0.557736        0.615061        -0.0162947      3.72062e-06     0               0               0               0.00170052      0               0               0               0.508753        -7.54841e-06    0               0               0               -0.00016527     0               0               0               -0.00714969     -2.89019e-06    0               0               0               -0.0005976      0               0               0               -0.0100716      10385.4         241.944         
3.83685e+11     0.531658        0.556472        0.611258        -0.0173929      3.69243e-06     0               0               0               0.00168763      0               0               0               0.505368        -7.49415e-06    0               0               0               -0.000164082    0               0               0               -0.00709178     -2.8865e-06     0               0               0               -0.000596836    0               0               0               -0.0100588      10381           242.125         
5.55105e+11     0.533116        0.555216        0.607525        -0.0184434      3.6647e-06      0               0               0               0.00167496      0               0               0               0.502035        -7.44082e-06    0               0               0               -0.000162915    0               0               0               -0.00703494     -2.88273e-06    0               0               0               -0.000596058    0               0               0               -0.0100457      10376           242.311         
8.03111e+11     0.534586        0.553969        0.60386         -0.0194477      3.63744e-06     0               0               0               0.0016625       0               0               0               0.498752        -7.38841e-06    0               0               0               -0.000161767    0               0               0               -0.00697914     -2.8789e-06     0               0               0               -0.000595266    0               0               0               -0.0100323      10370.4         242.5           
1.16192e+12     0.536068        0.55273         0.60026         -0.0204074      3.61063e-06     0               0               0               0.00165024      0               0               0               0.495518        -7.33687e-06    0               0               0               -0.000160639    0               0               0               -0.00692434     -2.87501e-06    0               0               0               -0.000594461    0               0               0               -0.0100187      10364.4         242.693         
1.68104e+12     0.537562        0.551498        0.596725        -0.0213237      3.58425e-06     0               0               0               0.00163819      0               0               0               0.492333        -7.28619e-06    0               0               0               -0.000159529    0               0               0               -0.00687052     -2.87105e-06    0               0               0               -0.000593643    0               0               0               -0.010005       10357.8         242.891         
2.43208e+12     0.539069        0.550275        0.593252        -0.0221981      3.55829e-06     0               0               0               0.00162632      0               0               0               0.489193        -7.23635e-06    0               0               0               -0.000158438    0               0               0               -0.00681766     -2.86703e-06    0               0               0               -0.000592811    0               0               0               -0.00999095     10350.8         243.092         
3.51867e+12     0.540588        0.54906         0.589839        -0.0230317      3.53274e-06     0               0               0               0.00161464      0               0               0               0.486099        -7.18731e-06    0               0               0               -0.000157364    0               0               0               -0.00676571     -2.86295e-06    0               0               0               -0.000591967    0               0               0               -0.00997673     10343.3         243.297         
5.09072e+12     0.54212         0.547853        0.586484        -0.0238259      3.50759e-06     0               0               0               0.00160315      0               0               0               0.483048        -7.13905e-06    0               0               0               -0.000156308    0               0               0               -0.00671466     -2.85881e-06    0               0               0               -0.000591111    0               0               0               -0.0099623      10335.4         243.505         
7.36511e+12     0.543666        0.546654        0.583187        -0.0245819      3.48282e-06     0               0               0               0.00159183      0               0               0               0.48004         -7.09156e-06    0               0               0               -0.000155268    0               0               0               -0.00666447     -2.85461e-06    0               0               0               -0.000590242    0               0               0               -0.00994767     10327           243.717         
1.06557e+13     0.545224        0.545462        0.579944        -0.0253008      3.45844e-06     0               0               0               0.00158068      0               0               0               0.477074        -7.04482e-06    0               0               0               -0.000154244    0               0               0               -0.00661514     -2.85035e-06    0               0               0               -0.000589362    0               0               0               -0.00993283     10318.2         243.933         
1.54163e+13     0.546796        0.544278        0.576756        -0.0259838      3.43442e-06     0               0               0               0.00156971      0               0               0               0.474148        -6.99879e-06    0               0               0               -0.000153237    0               0               0               -0.00656662     -2.84603e-06    0               0               0               -0.00058847     0               0               0               -0.0099178      10309           244.152         
2.23039e+13     0.548382        0.543101        0.57362         -0.0266319      3.41075e-06     0               0               0               0.00155889      0               0               0               0.471261        -6.95347e-06    0               0               0               -0.000152244    0               0               0               -0.0065189      -2.84166e-06    0               0               0               -0.000587566    0               0               0               -0.00990257     10299.4         244.375         
3.22687e+13     0.549981        0.541932        0.570534        -0.0272461      3.38743e-06     0               0               0               0.00154823      0               0               0               0.468413        -6.90883e-06    0               0               0               -0.000151267    0               0               0               -0.00647195     -2.83724e-06    0               0               0               -0.000586651    0               0               0               -0.00988715     10289.4         244.601         
4.66856e+13     0.551595        0.540771        0.567498        -0.0278275      3.36445e-06     0               0               0               0.00153773      0               0               0               0.465602        -6.86486e-06    0               0               0               -0.000150304    0               0               0               -0.00642577     -2.83276e-06    0               0               0               -0.000585724    0               0               0               -0.00987154     10279.1         244.83          
6.75435e+13     0.553222        0.539617        0.564511        -0.028377       3.3418e-06      0               0               0               0.00152737      0               0               0               0.462828        -6.82154e-06    0               0               0               -0.000149356    0               0               0               -0.00638031     -2.82822e-06    0               0               0               -0.000584787    0               0               0               -0.00985574     10268.4         245.062         
9.77201e+13     0.554865        0.53847         0.56157         -0.0288956      3.31946e-06     0               0               0               0.00151717      0               0               0               0.460089        -6.77885e-06    0               0               0               -0.000148421    0               0               0               -0.00633558     -2.82364e-06    0               0               0               -0.000583838    0               0               0               -0.00983976     10257.3         245.298         
1.41379e+14     0.556521        0.53733         0.558675        -0.0293842      3.29744e-06     0               0               0               0.0015071       0               0               0               0.457384        -6.73678e-06    0               0               0               -0.0001475      0               0               0               -0.00629154     -2.819e-06      0               0               0               -0.000582879    0               0               0               -0.0098236      10246           245.537         
2.04543e+14     0.558193        0.536197        0.555824        -0.0298436      3.27573e-06     0               0               0               0.00149718      0               0               0               0.454713        -6.69531e-06    0               0               0               -0.000146592    0               0               0               -0.00624817     -2.81431e-06    0               0               0               -0.00058191     0               0               0               -0.00980727     10234.3         245.779         
2.95928e+14     0.55988         0.535071        0.553017        -0.0302748      3.25431e-06     0               0               0               0.00148739      0               0               0               0.452076        -6.65443e-06    0               0               0               -0.000145697    0               0               0               -0.00620547     -2.80957e-06    0               0               0               -0.00058093     0               0               0               -0.00979075     10222.2         246.024         
4.28141e+14     0.561582        0.533953        0.550253        -0.0306784      3.23318e-06     0               0               0               0.00147773      0               0               0               0.44947         -6.61412e-06    0               0               0               -0.000144814    0               0               0               -0.00616342     -2.80478e-06    0               0               0               -0.00057994     0               0               0               -0.00977407     10209.9         246.271         
6.19423e+14     0.563299        0.532841        0.547529        -0.0310554      3.21233e-06     0               0               0               0.0014682       0               0               0               0.446896        -6.57436e-06    0               0               0               -0.000143944    0               0               0               -0.00612199     -2.79994e-06    0               0               0               -0.000578939    0               0               0               -0.00975721     10197.3         246.522         
8.96165e+14     0.565033        0.531736        0.544846        -0.0314065      3.19176e-06     0               0               0               0.0014588       0               0               0               0.444352        -6.53515e-06    0               0               0               -0.000143085    0               0               0               -0.00608118     -2.79506e-06    0               0               0               -0.000577929    0               0               0               -0.00974019     10184.4         246.776         
1.29655e+15     0.566782        0.530638        0.542202        -0.0317324      3.17145e-06     0               0               0               0.00144952      0               0               0               0.441838        -6.49648e-06    0               0               0               -0.000142238    0               0               0               -0.00604096     -2.79012e-06    0               0               0               -0.000576909    0               0               0               -0.009723       10171.2         247.033         
1.87581e+15     0.568548        0.529546        0.539596        -0.0320338      3.15141e-06     0               0               0               0.00144036      0               0               0               0.439354        -6.45832e-06    0               0               0               -0.000141403    0               0               0               -0.00600133     -2.78514e-06    0               0               0               -0.000575879    0               0               0               -0.00970565     10157.8         247.292         
2.71387e+15     0.57033         0.528461        0.537028        -0.0323115      3.13162e-06     0               0               0               0.00143131      0               0               0               0.436898        -6.42066e-06    0               0               0               -0.000140579    0               0               0               -0.00596226     -2.78012e-06    0               0               0               -0.00057484     0               0               0               -0.00968813     10144           247.554         
3.92636e+15     0.57213         0.527383        0.534496        -0.0325661      3.11208e-06     0               0               0               0.00142238      0               0               0               0.434469        -6.38351e-06    0               0               0               -0.000139765    0               0               0               -0.00592376     -2.77504e-06    0               0               0               -0.000573791    0               0               0               -0.00967046     10130.1         247.819         
5.68056e+15     0.573946        0.526311        0.531999        -0.0327982      3.09279e-06     0               0               0               0.00141356      0               0               0               0.432069        -6.34683e-06    0               0               0               -0.000138962    0               0               0               -0.00588579     -2.76992e-06    0               0               0               -0.000572732    0               0               0               -0.00965262     10115.9         248.087         
8.21848e+15     0.575779        0.525246        0.529538        -0.0330085      3.07374e-06     0               0               0               0.00140486      0               0               0               0.429694        -6.31063e-06    0               0               0               -0.000138169    0               0               0               -0.00584835     -2.76476e-06    0               0               0               -0.000571665    0               0               0               -0.00963463     10101.5         248.358         
1.18903e+16     0.577631        0.524187        0.527111        -0.0331976      3.05491e-06     0               0               0               0.00139625      0               0               0               0.427346        -6.2749e-06     0               0               0               -0.000137387    0               0               0               -0.00581144     -2.75955e-06    0               0               0               -0.000570588    0               0               0               -0.00961648     10086.8         248.631         
1.72026e+16     0.5795          0.523134        0.524716        -0.0333661      3.03632e-06     0               0               0               0.00138775      0               0               0               0.425023        -6.23961e-06    0               0               0               -0.000136614    0               0               0               -0.00577502     -2.7543e-06     0               0               0               -0.000569502    0               0               0               -0.00959818     10071.9         248.907         
2.48882e+16     0.581387        0.522087        0.522355        -0.0335145      3.01795e-06     0               0               0               0.00137936      0               0               0               0.422725        -6.20476e-06    0               0               0               -0.000135851    0               0               0               -0.0057391      -2.749e-06      0               0               0               -0.000568407    0               0               0               -0.00957973     10056.8         249.185         
3.60076e+16     0.583293        0.521047        0.520025        -0.0336434      2.99979e-06     0               0               0               0.00137106      0               0               0               0.420452        -6.17035e-06    0               0               0               -0.000135098    0               0               0               -0.00570366     -2.74366e-06    0               0               0               -0.000567303    0               0               0               -0.00956113     10041.5         249.466         
5.20949e+16     0.585218        0.520013        0.517726        -0.0337533      2.98185e-06     0               0               0               0.00136286      0               0               0               0.418202        -6.13636e-06    0               0               0               -0.000134354    0               0               0               -0.0056687      -2.73828e-06    0               0               0               -0.00056619     0               0               0               -0.00954237     10026           249.75          
7.53695e+16     0.587162        0.518985        0.515457        -0.0338447      2.96412e-06     0               0               0               0.00135476      0               0               0               0.415976        -6.10279e-06    0               0               0               -0.000133619    0               0               0               -0.00563419     -2.73286e-06    0               0               0               -0.000565068    0               0               0               -0.00952347     10010.4         250.036         
